,Songs,Artists,song_id,artist_id,Release_Date,Album_Art,Popularity,Song_Duration (ms)
29,ame,babaroa,3Aof4M4zDeX2KPORAHfKFH,7AIZziu2N7IegfZyEPoQp7,2020-07-08,https://i.scdn.co/image/ab67616d0000b2732fec7b80ecc70f3a20cdf533,29,291000
30,Universal Grammar,Eccy,1btMhHpEB4OvHpKFePAxqa,7uld07kmI7qKWujYC7dnbO,2020-04-03,https://i.scdn.co/image/ab67616d0000b273ab6ef5438b0d48bf8a681a6f,37,114800
31,mist,DJ Ryow a.k.a. Smooth Current,1CWrAdwuNGPXvDh8mgKARi,11TpYQQbNIsB5W9dvakmjy,2020-08-14,https://i.scdn.co/image/ab67616d0000b273c984c38538d1f926a3954b11,18,99440
32,Luv,GORO KUMAI,1tJa54bWcdqb2kawGtd7ZB,41lxUXDzSD0mjAnHOgbXDR,2020-05-01,https://i.scdn.co/image/ab67616d0000b2737b54d28e998b62b02246f0bf,36,87096
33,Gypsy Woman,SMOKIN’theJAZZ,615Os9s5deQT7fOQku5grC,2EPBUwyVFGqahuZ4TK150I,2020-07-22,https://i.scdn.co/image/ab67616d0000b273da73ac94965ab861b9964eeb,35,224000
34,When the neon sign turns on,Takayuki Hashiguchi,28YE296IpnuNi3nJ2l11jn,18eJdTU5Sepx9LX7KHZv1k,2020-08-14,https://i.scdn.co/image/ab67616d0000b273c8254aa49d120e07e366d5a5,11,113000
35,Who,Hama,35solA4AqWqV0shqbmrlXi,2mkZla5mSMjsk6BRgWGOHr,2020-08-07,https://i.scdn.co/image/ab67616d0000b273b6cb850ff1de10710a46cad5,23,174665
36,Cows In The Distance,Minthaze,5UD0l9bmyi6cILD4nxIcYV,0GDuz9Xe0BQHtO6uEOHm1v,2020-06-05,https://i.scdn.co/image/ab67616d0000b273ee88e20ae987956d85471332,45,116959
37,Man In The Mirror,BIG-8,6W5nQGTnPbIOvp8NT9354E,3el2MXxfHsfgn4sDDSvPog,2020-06-08,https://i.scdn.co/image/ab67616d0000b2730c8a47390e6b2af7fec2dfc8,34,95454
38,Good song,SPECIAL OTHERS,1pdMs8HUL8udZMqbUaBtd6,4642raFccEF58fHRtJSsc5,2020-05-13,https://i.scdn.co/image/ab67616d0000b2733ee6c8e4201ab080f6f558e3,41,202733
39,Soul Finding,Mujo,27fX7qVg3MCQ6DEqgB4Rro,0vg08N1z9G9LrGLkG1nNDS,2020-06-05,https://i.scdn.co/image/ab67616d0000b2739e8510d7eaeb4517326697f3,52,101663
40,Baby Since I Got You,Yaboy,7hAdCAQps5pBHyGE6RIWhW,261tfDi8O7e45yOgAiukDl,2020-03-28,https://i.scdn.co/image/ab67616d0000b27387e2f0e53772e5a00832cd0f,38,138890
41,Graffiti,sakamoto junnosuke,4XP62rjfnBLoRMe3C8d8X9,79CYOq7U0oNlU4H8kXUj5v,2020-07-24,https://i.scdn.co/image/ab67616d0000b2738c3b866096dcdbee66c8d421,32,269120
42,No Way,Mujo,3u0hOeE9iTeI0PsvvSv7DL,0vg08N1z9G9LrGLkG1nNDS,2020-06-12,https://i.scdn.co/image/ab67616d0000b2733e6e88efbdb180fb826047c6,47,123326
43,Grandeur,Shinjuku Jumpshot,0CjXWn8u6fg9z82AIuqW0L,3Tssruxt0wSeVhuGQzrpGx,2020-06-05,https://i.scdn.co/image/ab67616d0000b273887150dd31be1f1d3021662b,37,130768
44,be again,Bugseed,61DaKefyephvATjlpyjU9C,0ObliAtls0po56kVnacsOd,2020-04-10,https://i.scdn.co/image/ab67616d0000b273bccc6d63dbd19ebcde884697,40,163721
45,Helpless,John Mayer,701DK0It9f7iurRnzKvF0y,0hEurMDQu99nJRq8pTxO14,2017-04-14,https://i.scdn.co/image/ab67616d0000b273c6bfaf942ed981d5c4c922e4,60,249120
46,Emoji of a Wave,John Mayer,5ddXMXmXZ2FN4iliTG20nO,0hEurMDQu99nJRq8pTxO14,2017-04-14,https://i.scdn.co/image/ab67616d0000b273c6bfaf942ed981d5c4c922e4,62,239666
47,Heartbreak Warfare,John Mayer,4gs07VlJST4bdxGbBsXVue,0hEurMDQu99nJRq8pTxO14,2009-11-13,https://i.scdn.co/image/ab67616d0000b2731e3dbe4453ed61633c472fbe,65,269720
48,Why Georgia,John Mayer,1c7UYTut2SBOPq64o2t0uN,0hEurMDQu99nJRq8pTxO14,2001-08-16,https://i.scdn.co/image/ab67616d0000b2738848d57cbfa7751e028f4dc9,66,268973
49,In the Blood,John Mayer,77Y57qRJBvkGCUw9qs0qMg,0hEurMDQu99nJRq8pTxO14,2017-04-14,https://i.scdn.co/image/ab67616d0000b273c6bfaf942ed981d5c4c922e4,65,243666
